sku,centro,model_first_flag,actual_first_markdown,delta_weeks
HK1113512BDBF080,7501,2025-04-21,2025-04-21,0.0
HK1113512BDBF080,AB75,2023-11-27,2023-11-27,0.0
HK1113512BDBF085,7501,2025-04-07,2025-04-07,0.0
HK1113512BDBF085,AB75,2024-01-22,2024-01-22,0.0
HK1113512BDBF090,7501,2025-04-21,2025-04-21,0.0
HK1113512BDBF090,AB75,2024-02-26,2024-02-26,0.0
HK1113512BDBF095,AB75,2024-02-26,2024-02-26,0.0
HK1113512BDBF100,7501,2025-04-21,2025-04-21,0.0
HK1113512BDBF100,AB75,2024-04-01,2024-04-01,0.0
HK1113512BDBF110,7501,2025-02-03,2025-02-03,0.0
HK1113512BDBF115,AB75,2024-05-06,2024-05-06,0.0
HK1113512BDBF120,7501,2025-04-28,2025-04-28,0.0
HK1113513BDBPY060,AB75,2023-12-18,2023-12-18,0.0
HK1113513BDBPY065,AB75,2024-02-26,2024-02-26,0.0
HK1113513BDBPY070,AB75,2023-12-11,2023-12-11,0.0
HK1113513BDBPY075,AB75,2023-12-11,2023-12-11,0.0
HK1113513BDBPY085,AB75,2024-03-18,2024-03-18,0.0
HK1117092BSVOSF,7501,2024-12-09,2024-12-16,1.0
HK1117092BSVOSF,AB75,2024-11-04,2024-11-04,0.0
HK1117092BWHT1SZ,7501,2024-10-28,2024-11-04,1.0
HK1117092DVBL1SZ,7501,2024-10-14,2024-10-14,0.0
HK1117092DVBL1SZ,AB75,2025-02-24,2025-02-24,0.0
HK1117092PAY1SZ,7501,2024-11-18,2024-11-25,1.0
HK1119393BWHT100,AB75,2024-08-05,2024-08-05,0.0
HK1119393BWHT105,AB75,2023-11-13,2023-11-13,0.0
HK1119395BDGB085,AB75,2023-09-11,2023-09-11,0.0
HK1119395BDGB090,AB75,2023-10-30,2023-10-30,0.0
HK1119395BDGB100,AB75,2023-08-28,2023-08-28,0.0
HK1119395BDGB110,AB75,2023-08-28,2023-08-28,0.0
HK1119395BDGB120,AB75,2023-08-28,2023-08-28,0.0
HK1119395BKSV080,AB75,2023-12-11,2023-12-11,0.0
HK1119395BKSV085,AB75,2024-08-19,2024-08-19,0.0
HK1119395BKSV090,7501,2024-11-18,2024-11-18,0.0
HK1119395BKSV090,AB75,2023-11-27,2023-11-27,0.0
HK1119395BKSV095,AB75,2024-04-01,2024-04-01,0.0
HK1119395BKSV100,7501,2024-11-11,2024-11-11,0.0
HK1119395BKSV105,AB75,2024-02-05,2024-02-05,0.0
HK1119395BKSV110,AB75,2024-01-01,2024-01-01,0.0
HK1119395BKSV115,7501,2024-11-18,2024-11-18,0.0
HK1119395BKSV115,AB75,2024-04-01,2024-04-01,0.0
HK1119395BKSV120,7501,2025-01-20,2025-01-20,0.0
HK1119395BWHT085,AB75,2024-05-20,2024-05-20,0.0
HK1119395BWHT090,7501,2024-10-28,2024-10-28,0.0
HK1119395BWHT090,AB75,2024-08-26,2024-08-26,0.0
HK1119395BWHT100,AB75,2024-07-01,2024-07-01,0.0
HK1119395BWHT105,AB75,2024-08-05,2024-08-05,0.0
HK1119395FAYW085,AB75,2024-07-15,2024-07-15,0.0
HK1119395PDL085,7501,2024-10-28,2024-10-28,0.0
HK1119395PDL085,AB75,2024-08-05,2024-08-05,0.0
HK1119395PDL090,7501,2025-01-13,2025-01-13,0.0
HK1119395PDL095,7501,2025-01-27,2025-01-27,0.0
HK1119395PDL095,AB75,2024-08-26,2024-08-26,0.0
HK1119395PDL105,7501,2024-11-11,2024-11-11,0.0
HK1119395PDL120,7501,2025-01-20,2025-01-20,0.0
HK1119396BBCRM060,AB75,2023-09-18,2023-09-18,0.0
HK1119396BBCRM065,AB75,2023-08-28,2023-08-28,0.0
HK1119396BBCRM070,AB75,2023-09-04,2023-09-04,0.0
HK1119396BBCRM075,AB75,2023-09-18,2023-09-18,0.0
HK1119396BBCRM080,AB75,2023-08-28,2023-09-04,1.0
HK1119396BBCRM090,AB75,2023-09-11,2023-09-11,0.0
HK1119396BWHT055,AB75,2024-08-05,2024-08-05,0.0
HK1119396BWHT070,AB75,2024-05-27,2024-05-27,0.0
HK1119396BWHT075,7501,2024-11-18,2024-11-18,0.0
HK1119396BWHT080,AB75,2024-08-19,2024-08-19,0.0
HK1119396RSRW055,AB75,2024-02-26,2024-02-26,0.0
HK1119396RSRW060,AB75,2023-12-18,2023-12-18,0.0
HK1119396RSRW065,7501,2024-11-18,2024-11-18,0.0
