sku,centro,week,discount_rate,model_depth,depth_delta,model_prob,units_sold,gross_revenue
HK1113512BDBF080,7501,2025-04-21,0.59997999899995,0.6031963,0.0032163239179882064,0.999941,1.0,80000.0
HK1113512BDBF080,AB75,2023-11-27,0.15000250012500624,0.15180427,0.001801768235131701,0.99979717,1.0,169991.0
HK1113512BDBF085,7501,2025-04-07,0.2,0.25862035,0.058620351552963246,0.99991953,1.0,159992.0
HK1113512BDBF085,7501,2025-04-28,0.59997999899995,0.6016403,0.0016602850614818587,0.9999354,2.0,160000.0
HK1113512BDBF085,AB75,2024-01-22,0.2,0.19917993,-0.0008200675249099842,0.9998598,1.0,159992.0
HK1113512BDBF090,7501,2025-04-21,0.59997999899995,0.59979385,-0.00018614762437019206,0.9999449,1.0,80000.0
HK1113512BDBF090,AB75,2024-02-26,0.14999749987499375,0.15072218,0.0007246759615693599,0.9999329,1.0,169992.0
HK1113512BDBF090,AB75,2024-07-29,0.15000250012500624,0.15041208,0.0004095825471129022,0.9999343,1.0,169991.0
HK1113512BDBF095,AB75,2024-02-26,0.14999749987499375,0.15180849,0.0018109855137620479,0.9998728,1.0,169992.0
HK1113512BDBF095,AB75,2024-03-25,0.2,0.19829646,-0.001703542470932018,0.9999013,1.0,159992.0
HK1113512BDBF095,AB75,2024-05-20,0.14999749987499375,0.16174772,0.011750223942831567,0.9999051,1.0,169992.0
HK1113512BDBF100,7501,2025-04-21,0.59997999899995,0.59977996,-0.00020003550660285807,0.9999596,1.0,80000.0
HK1113512BDBF100,7501,2025-04-28,0.4285663261661547,0.6000755,0.17150915715598886,0.999941,2.0,159990.0
HK1113512BDBF100,AB75,2024-04-01,0.14999749987499375,0.15050276,0.0005052563629899531,0.9999306,1.0,169992.0
HK1113512BDBF110,7501,2025-02-03,0.14999749987499375,0.14977972,-0.00021777778045792284,0.9998921,1.0,169992.0
HK1113512BDBF115,AB75,2024-05-06,0.14999749987499375,0.15132351,0.001326012321547082,0.99983823,1.0,169992.0
HK1113512BDBF120,7501,2025-04-28,0.59997999899995,0.59940577,-0.0005742334665027604,0.99993336,2.0,160000.0
HK1113513BDBPY060,AB75,2023-12-18,0.14999749987499375,0.15129942,0.0013019171438966304,0.9997861,1.0,169992.0
HK1113513BDBPY065,AB75,2024-02-26,0.14999749987499375,0.15187593,0.0018784281693254024,0.9998708,1.0,169992.0
HK1113513BDBPY070,AB75,2023-12-11,0.14999749987499375,0.15124828,0.0012507763586793452,0.99977285,1.0,169992.0
HK1113513BDBPY070,AB75,2024-03-11,0.14999749987499375,0.14708248,-0.0029150220669950933,0.99992716,1.0,169992.0
HK1113513BDBPY075,AB75,2023-12-11,0.14999749987499375,0.15124828,0.0012507763586793452,0.99977285,1.0,169992.0
HK1113513BDBPY085,AB75,2024-03-18,0.14999749987499375,0.15171558,0.0017180767737184077,0.99989486,1.0,169992.0
HK1117092BSVOSF,7501,2024-12-16,0.0375,0.042560168,0.005060167610645296,0.99991596,8.0,230923.0
HK1117092BSVOSF,7501,2025-01-20,0.3,0.30389503,0.003895026445388805,0.9999409,1.0,20993.0
HK1117092BSVOSF,AB75,2024-11-04,0.15,0.15260193,0.00260192751884461,0.99987555,2.0,50983.0
HK1117092BWHT1SZ,7501,2024-11-04,0.018747915971990662,0.015594823,-0.0031530926860533527,0.99990654,8.0,235422.0
HK1117092BWHT1SZ,7501,2024-12-16,0.02774999073765329,0.022669287,-0.005080703339195764,0.99991655,9.0,262420.0
HK1117092DVBL1SZ,7501,2024-10-14,0.0665777481382683,0.079974405,0.013396657329241918,0.9996352,3.0,83980.0
HK1117092DVBL1SZ,7501,2024-11-18,0.037495831943981324,0.046405334,0.00890950208164009,0.9999292,4.0,115462.0
HK1117092DVBL1SZ,7501,2025-01-20,0.018747915971990662,0.038592726,0.019844810020212097,0.99993503,8.0,235422.0
HK1117092DVBL1SZ,7501,2025-02-03,0.2,0.22736767,0.027367669343948353,0.999912,1.0,23992.0
HK1117092DVBL1SZ,AB75,2025-02-24,0.8,0.7928997,-0.007100272178649947,0.9998865,1.0,5998.0
HK1117092DVBL1SZ,AB75,2025-06-09,0.14998571020291512,0.15867747,0.008691763461368629,0.9999267,1.0,29742.0
HK1117092DVBL1SZ,AB75,2025-06-23,0.14998571020291512,0.1499217,-6.400984452431535e-05,0.99991703,1.0,29742.0
