sku,product_name,store_code,talla,color,category,subcategory,markdown_probability,confidence,recommended_depth,priority_score,weekly_velocity,velocity_trend,product_age_weeks,size_curve_completeness,currently_discounted,current_discount_pct,max_historical_discount,current_avg_price,estimated_weekly_revenue,rationale,store_name
HK1168722SWRD100,MAFATE 5 SWRD M N°10,7501,10,BLUE,Footwear,Running,0.9998336,high,0.16654545,184959.2146730423,1.0,1.0,24.714285714285715,0.2727272727272727,1,0.14999729715119736,0.2,184990.0,184990.0,0 weeks since last discount → increases markdown likelihood; Currently on discount → increases continuation probability,Hoka Costanera
HK1155152TRFF100,SPEEDGOAT 6 MID GTX TRFF M N°10,7502,10,BEIGE,Footwear,Running,0.9998919,high,0.30378768,178171.7334855795,0.75,0.6666666666666666,4.714285714285714,0.2222222222222222,1,0.2999646446790242,0.2999646446790242,197990.0,148492.5,nan,Hoka Marina
HK1162012VCH090,W BONDI 9 VCH N° 9,7501,9,,Footwear,Running,0.99968505,high,0.048957393,157441.39806103706,0.75,0.6666666666666666,2.2857142857142856,0.75,0,0.0,0.028573061317789587,174990.0,131242.5,nan,Hoka Costanera
HK1147811GMC070,SPEEDGOAT 6 GMC W N°7,7501,7,GREY,Footwear,Running,0.999851,high,0.3028462,154966.90469026566,1.0,2.0,18.714285714285715,0.3,1,0.2999548357958578,0.2999548357958578,154990.0,154990.0,nan,Hoka Costanera
HK1162011GCTC105,"M BONDI 9 GCTC N° 10,5",7501,"10,5",,Footwear,Running,0.9993012,high,0.2854254,152884.08914637566,0.75,0.6666666666666666,2.4285714285714284,0.2222222222222222,0,0.0,0.3999647038061062,169990.0,127492.5,nan,Hoka Costanera
HK1162031BWHT080,CLIFTON 10 BWHT 8,7501,8,WHITE,Footwear,Sneakers,0.99993837,high,0.21680726,149980.75593590736,1.0,1.5,39.42857142857143,0.3333333333333333,1,0.19994666311087406,0.19994666311087406,149990.0,149990.0,nan,Hoka Costanera
HK1147791MPLC090,SPEEDGOAT 6 MPLC M N°9,7501,9,BROWN,Footwear,Running,0.99993,high,0.30373356,139481.23899829388,0.75,0.6666666666666666,15.428571428571429,0.2,1,0.2999548357958578,0.2999548357958578,154990.0,116242.5,nan,Hoka Costanera
HK1162030PTYG080,M CLIFTON 10 PTYG N° 8,7501,8,,Footwear,Running,0.9998909,high,0.21660812,139475.784809947,0.75,0.6666666666666666,2.4285714285714284,0.3333333333333333,1,0.19994838376669463,0.2257565004193819,154990.0,116242.5,nan,Hoka Costanera
HK1162053SKYW100,CIELO X1 2.0 SKYW U N°10,7501,10,BLUE,Footwear,Running,0.9999007,high,0.3851747,137481.34656250477,0.5,2.0,19.714285714285715,0.09090909090909091,1,0.3999781810247645,0.3999781810247645,274990.0,137495.0,nan,Hoka Costanera
HK1162012VCH060,W BONDI 9 VCH N° 6,7501,6,,Footwear,Running,0.9998723,high,0.09647917,131225.74385672808,0.75,1.3333333333333333,2.2857142857142856,0.75,1,0.1,0.1,174990.0,131242.5,nan,Hoka Costanera
HK1162012VCH075,"W BONDI 9 VCH N° 7,5",AB75,"7,5",,Footwear,Running,0.9998617,high,0.07482228,131224.3514227867,0.75,2.0,2.5714285714285716,0.25,1,0.0749985713469341,0.0749985713469341,174990.0,131242.5,nan,CD Hoka (E-commerce)
HK1162011CBLL105,"M BONDI 9 CBLL N° 10,5",7501,"10,5",BLACK,Footwear,Running,0.9997154,high,0.20011865,131205.1467861235,0.75,2.0,0.8571428571428571,0.4,1,0.19995428310189153,0.19995428310189153,174990.0,131242.5,nan,Hoka Costanera
HK1162012BBLC055,"BONDI 9 BBLC W N°5,5",AB75,"5,5",BLACK,Footwear,Running,0.9999403,high,0.14946665,127484.88565653563,0.75,1.3333333333333333,24.714285714285715,0.8,1,0.14999705865050886,0.14999705865050886,169990.0,127492.5,nan,CD Hoka (E-commerce)
HK1162012BWHT065,"BONDI 9 BWHT N° 6,5",7501,"5,5",BLACK,Footwear,Sneakers,0.99988675,high,0.14369957,127478.06162416935,0.75,1.3333333333333333,50.42857142857143,0.3,1,0.14999705865050886,0.14999705865050886,169990.0,127492.5,nan,Hoka Costanera
HK1162012BWHT065,"BONDI 9 BWHT N° 6,5",AB75,"5,5",BLACK,Footwear,Sneakers,0.99987686,high,0.13482173,127476.80016607046,0.75,2.0,50.42857142857143,0.4,1,0.14999705865050886,0.14999705865050886,169990.0,127492.5,nan,CD Hoka (E-commerce)
HK1162012TLSL070,BONDI 9 TLSL W N°7,7502,7,WHITE,Footwear,Running,0.99987495,high,0.29759145,127476.55699342489,0.75,2.0,23.142857142857142,0.2,1,0.29995882110712396,0.29995882110712396,169990.0,127492.5,nan,Hoka Marina
HK1162012MBLW085,"W BONDI 9 MBLW N° 8,5",7501,"8,5",,Footwear,Running,0.99980754,high,0.20362884,127467.96236023307,0.75,1.3333333333333333,2.4285714285714284,0.5,1,0.19995293840814166,0.19995293840814166,169990.0,127492.5,nan,Hoka Costanera
HK1162012BBLC090,BONDI 9 BBLC W N°9,AB75,9,BLACK,Footwear,Running,0.99977285,high,0.14384519,127463.53965774179,0.75,1.3333333333333333,24.857142857142858,0.8,0,0.0,0.14999705865050886,169990.0,127492.5,nan,CD Hoka (E-commerce)
HK1162012BWHT085,"BONDI 9 BWHT N° 8,5",7501,7,BLACK,Footwear,Sneakers,0.9991866,high,0.29646766,127388.79446581006,0.75,1.3333333333333333,50.285714285714285,0.3,0,0.0,0.29995882110712396,169990.0,127492.5,nan,Hoka Costanera
HK1147810BWHT075,"MACH 6 BWHT W N°7,5",7501,"7,5",WHITE,Footwear,Outdoor,0.999905,high,0.40527236,125979.02961981297,0.75,0.6666666666666666,15.142857142857142,0.3,1,0.3999571397956997,0.3999571397956997,139990.0,104992.5,nan,Hoka Costanera
HK1147791OSH085,"SPEEDGOAT 6 OSH M N°8,5",7501,"8,5",BROWN,Footwear,Running,0.9999082,high,0.3003047,116231.82996690273,0.75,2.0,15.714285714285714,0.18181818181818182,1,0.2999548357958578,0.2999548357958578,154990.0,116242.5,nan,Hoka Costanera
HK1162030PTYG090,M CLIFTON 10 PTYG N° 9,7501,9,,Footwear,Running,0.9996755,high,0.049489174,116204.78074014187,0.75,1.3333333333333333,2.142857142857143,0.3333333333333333,0,0.0,0.032260145815859086,154990.0,116242.5,nan,Hoka Costanera
HK1162010FPR075,"MAFATE X FPR 7,5",7501,"7,5",ORANGE,Footwear,Sneakers,0.99990463,high,0.21006632,112484.27164077759,0.5,1.0,37.857142857142854,0.25,1,0.1999644428641273,0.1999644428641273,224990.0,112495.0,nan,Hoka Costanera
HK1123153BKLB095,"Transport BKLB 9,5",7501,"9,5",BLACK,Footwear,Sneakers,0.9999082,high,0.29602957,112482.17418372631,0.75,1.3333333333333333,41.714285714285715,0.1,1,0.2999533302220148,0.3000200013334222,149990.0,112492.5,nan,Hoka Costanera
HK1123154BKLB065,"Transport BKLB 6,5",7501,"6,5",BLACK,Footwear,Sneakers,0.99988246,high,0.2993748,112479.27759110928,0.75,1.3333333333333333,29.428571428571427,0.2,1,0.2999533302220148,0.2999533302220148,149990.0,112492.5,nan,Hoka Costanera
HK1162010FPR065,"MAFATE X FPR 6,5",7501,"6,5",ORANGE,Footwear,Sneakers,0.99983776,high,0.20619859,112476.74837887287,0.5,1.0,36.42857142857143,0.25,1,0.1999644428641273,0.1999644428641273,224990.0,112495.0,nan,Hoka Costanera
HK1162030BKSV100,M CLIFTON 10 BKSV N° 10,7501,10,BLACK,Footwear,Running,0.9989255,high,0.27767223,112371.62760391831,0.75,2.0,2.142857142857143,0.2727272727272727,0,0.0,0.2999533302220148,149990.0,112492.5,nan,Hoka Costanera
HK1168690SSTC095,"ARAHI 8 SSTC M N°9,5",7501,"9,5",GREY,Footwear,Running,0.9998956,high,0.3012465,108731.14431023598,0.75,2.0,24.142857142857142,0.1111111111111111,1,0.2999517208083316,0.2999517208083316,144990.0,108742.5,nan,Hoka Costanera
HK1147790AFF095,"MACH 6 AFF M N°9,5",7501,"9,5",GREEN,Footwear,Running,0.99991786,high,0.39731127,104983.87641996145,0.75,1.3333333333333333,15.428571428571429,0.1,1,0.3999571397956997,0.3999571397956997,139990.0,104992.5,nan,Hoka Costanera
HK1147810BWHT080,MACH 6 BWHT W N°8,7501,8,WHITE,Footwear,Outdoor,0.9998796,high,0.39366123,104979.85875785351,0.75,2.0,19.285714285714285,0.3,1,0.3999571397956997,0.3999571397956997,139990.0,104992.5,nan,Hoka Costanera
HK1168720NNHK090,MACH X 3 NNHK N°9,7501,9,YELLOW,Footwear,Running,0.99977416,high,0.15313865,99972.4169293046,0.5,1.0,14.714285714285714,0.2,1,0.14999749987499375,0.14999749987499375,199990.0,99995.0,nan,Hoka Costanera
